Unnamed: 0.1,Unnamed: 0,FirstObjectDistance_X,FirstObjectDistance_Y,SecondObjectDistance_X,SecondObjectDistance_Y,ThirdObjectDistance_X,ThirdObjectDistance_Y,FourthObjectDistance_X,FourthObjectDistance_Y,VehicleSpeed,FirstObjectSpeed_X,FirstObjectSpeed_Y,SecondObjectSpeed_X,SecondObjectSpeed_Y,ThirdObjectSpeed_X,ThirdObjectSpeed_Y,FourthObjectSpeed_X,FourthObjectSpeed_Y,YawRate,Timestamp
0,0,64.11139112903227,11.28125,42.59576612903227,-9.0078125,24.091985887096783,-9.6640625,30.761844758064516,13.3984375,0.0,-0.0078125,0.0,0.015625,0.00390625,0.00390625,0.02734375,0.02734375,0.0,0.0,33.24150366
1,1,64.11113911290323,11.2734375,42.595766129032256,-9.0078125,24.088709677419367,-9.6640625,30.761592741935495,0.0,0.0,-0.015625,0.0,-0.0078125,0.01171875,0.0,0.0234375,0.0,0.0,0.0,33.33595952
2,2,64.11139112903226,11.28125,42.59551411290322,-9.0625,24.08316532258065,-9.625,30.758316532258075,0.0,0.0,-0.01171875,0.0,-0.00390625,-0.03515625,0.01953125,0.03125,0.0,0.0,0.0,33.42972533
3,3,64.11265120967741,11.2890625,42.596018145161295,-9.109375,24.07459677419354,-9.625,30.755292338709687,0.0,0.0,-0.015625,0.0,0.0,-0.0546875,0.01171875,0.046875,0.0,0.0,0.0,33.52276921
4,4,64.11340725806451,11.2890625,42.5967741935484,-9.1171875,24.063760080645178,-9.5703125,30.75201612903226,0.0,0.0,0.0,0.00390625,0.0,-0.04296875,0.03125,0.0625,0.0,0.0,0.0,33.61871549
5,5,64.11391129032259,11.296875,42.597026209677416,-9.1328125,24.05241935483872,-9.609375,30.747983870967754,0.0,0.0,0.01171875,0.00390625,0.00390625,-0.03125,0.0,-0.01171875,0.0,0.0,0.0,33.71547368
6,6,64.11315524193549,11.28125,42.59803427419354,-9.1640625,24.040826612903235,-9.6171875,32.23009072580646,1.171875,0.0,0.00390625,0.00390625,-0.01953125,-0.03125,-0.0078125,-0.0703125,-0.98046875,0.00390625,0.0,33.81275482
7,7,64.11189516129033,11.2734375,42.59853830645162,-9.140625,24.026209677419356,-9.640625,33.71270161290324,1.1328125,0.0,0.02734375,0.0,-0.0234375,0.0,-0.03125,-0.07421875,-0.90234375,-0.015625,0.0,33.91177878
8,8,64.1116431451613,11.296875,42.59979838709679,-9.1171875,24.0108366935484,-9.65625,33.10584677419356,0.0,0.0,0.015625,0.00390625,-0.02734375,0.015625,-0.046875,-0.11328125,0.0,0.0,0.0,34.00865996
9,9,64.11189516129032,11.2890625,42.60055443548388,-9.1171875,23.995211693548388,-9.6953125,32.49294354838711,0.0,0.0,0.01171875,0.0,0.0,-0.0078125,-0.06640625,-0.12890625,0.0,0.0,0.0,34.10609708
